id,name,detail,date,stature,school
348,338 Hu Hung,same; circulated Chou Tun-i's numerology,1100,Minor philosopher,Neo-Confucian
349,339 Hu Yin,same,1100,Minor philosopher,Neo-Confucian
350,340 Chang Shih,"same; 1st printed Ch'eng bros. mss, criticized by Chu Hsi",1100,Minor philosopher,Neo-Confucian
351,341 Liu Kung,same,1100,Minor philosopher,Neo-Confucian
352,342 Hu Chi-sui,,1100,Minor philosopher,Neo-Confucian
353,343 Li Tung,,1100,Minor philosopher,Neo-Confucian
354,344 Wu Yu,Confucian textual historian +,1100,Minor philosopher,
355,345 Cheng Chia,same +,1100,Minor philosopher,
356,346 Wang Che,f. Taoist Perfect Realization sect in north Khitan conquest state,1100,Minor philosopher,Taoist magician or church leader
357,347 Hui-t'ang Tsu-hsin,Ch'an,1100,Minor philosopher,Ch'an Lin-chi sect
358,348 Ling-yiian Wei-ch'ing,same,1100,Minor philosopher,Ch'an Lin-chi sect
359,349 Wu-tsu Fa-yen,Ch'an Blue Cliff Record,1100,Minor philosopher,Ch'an Lin-chi sect
360,350 K'ai-fu Tao-ning,Ch'an,1100,Minor philosopher,Ch'an Lin-chi sect
361,351 Tan-hsia,,1100,Minor philosopher,Ch'an Ts'ao-Tung sect
362,352 Hung-chih Cheng-chueh,"Silent Illumination Ch'an, Hua-yen, anti-koan meditation",1100,Minor philosopher,Ch'an Ts'ao-Tung sect
363,353 K'ai-hsi Tao-ch'ien,Ch'an,1100,Minor philosopher,Ch'an Lin-chi sect
364,354 Fo-chao Te-kuang,same,1100,Minor philosopher,Ch'an Lin-chi sect
365,355 Wu-men Hui-k'ai,koan collection,1100,Minor philosopher,Ch'an Lin-chi sect
366,356 T'ien-t'ung Ju-ching,"Buddhist, opposed Confucian/Taoist syncretism",1200,Minor philosopher,Ch'an Ts'ao-Tung sect
367,357 Li Po-mien,,1200,Minor philosopher,
368,358 Liu Tse-chih,,1200,Minor philosopher,Neo-Confucian
369,359 Lin Ti,,1200,Minor philosopher,Neo-Confucian
370,360 Ts'ai Chi-tung,,1200,Minor philosopher,Neo-Confucian
371,361 Huang Hsiin,,1200,Minor philosopher,Neo-Confucian
372,362 Ts'ai Ch'en,,1200,Minor philosopher,Neo-Confucian
373,363 Chang Hsi,,1200,Minor philosopher,
374,364 Ch'en Fu-liang,,1200,Minor philosopher,
375,365 Ts'ao Shu-yuan,,1200,Minor philosopher,Neo-Confucian
376,366 Ch'ang Ch'un,Taoist sect chief,1200,Minor philosopher,Taoist magician or church leader
377,367 Li Chih-Ch'ang,Taoist sect chief,1200,Minor philosopher,Taoist magician or church leader
378,368 Hsii Lu-Chai,,1200,Minor philosopher,Neo-Confucian
379,369 Li Ching-te,,1200,Minor philosopher,Neo-Confucian
380,370 Yeh Ts'ai,,1200,Minor philosopher,Neo-Confucian
381,371 Wei Liao-Ong,,1200,Minor philosopher,
382,372 Wu Lin Ch'uan +,,1200,Minor philosopher,
383,372a Wu Ch'eng,compromise Lu Chiu-yiian & Chu Hsi phils +,1200,Minor philosopher,
384,373 Liu Chi,"astron/astrol, skeptic anti-superstition +",1300,Minor philosopher,
385,374 Hsieh Ying Fang,skeptic +,1300,Minor philosopher,
386,374a Cheng Yii,same as 372a +,1300,Minor philosopher,
387,375 Ts'ao Tuan,"skeptic, anti-Buddhist +",1400,Minor philosopher,
388,376 Yang P'u +,,1400,Minor philosopher,
389,377 Hsieh Hsuan,cm. Neo-Confucian texts +,1400,Minor philosopher,
390,378 Wu Yu-pi,,1400,Minor philosopher,Neo-Confucian
391,379 Hu Chii-jen,faithful Neo-Confucian,1400,Minor philosopher,Neo-Confucian
392,380 Lou Liang,,1500,Minor philosopher,Neo-Confucian
393,381 Chan Jo-shui,,1500,Minor philosopher,
394,382 Hsu Ai,,1500,Minor philosopher,
395,383 Huang Wan,,1500,Minor philosopher,
396,384 Ku Yin-hsing,,1500,Minor philosopher,
397,385 Ch'ien Te-hung,split in Wang Yang-Ming school,1500,Minor philosopher,
398,386 Ch'en Ching-lan,"orthodox Neo-Confucian, Grit. Lu Chiu-yuan and Wang Yang-Ming as Ch'an Buddhism +",1500,Minor philosopher,
399,CONFUCIUS,,-500,Major philosopher,
400,Tseng Tzu,,-500,Secondary philosopher,
401,MO TI,,-400,Major philosopher,
402,Yang Chu,,-400,Secondary philosopher,
403,Hsü Hsing,,-400,Secondary philosopher,agriculturalist primitivist
404,india1 King Janaka,,-700,Minor philosopher,
405,india2 King Ajatashatru,,-700,Minor philosopher,
406,india3 King Pravehana Jaivali,defeated  Aruni in debate,-700,Minor philosopher,
407,india4 King Ashvapati,debated Aruni &11-15,-700,Minor philosopher,
408,india5 Sanatkumara +,,-700,Minor philosopher,
409,india6 Shandilya +,,-700,Minor philosopher,
410,india7 Raikva +,,-700,Minor philosopher,
